,Media,Date,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
68,@BBC,Wed Jul 11 19:16:46 +0000 2018,"RT @5liveSport: Only three men have ever scored for #ENG in a semi-final of a #WorldCup

⚽ Sir Bobby Charlton
⚽ @GaryLineker
⚽ Kieran Tripp…",0.0,0.0,0.0,1.0,69
69,@BBC,Wed Jul 11 19:02:33 +0000 2018,"RT @BBCOne: We’re pretty sure that exactly 53% of the population is covered in beer right now 🤔🤗 #ENGCRO #WorldCup

https://t.co/l5UTbo9n7x",0.6705,0.224,0.0,0.776,70
70,@BBC,Wed Jul 11 19:02:02 +0000 2018,A gripping reimagining of Joan Lindsay's iconic novel that delves into the mysterious disappearances of three schoo… https://t.co/d4nPoQXIYJ,0.3182,0.126,0.0,0.874,71
71,@BBC,Wed Jul 11 18:50:03 +0000 2018,"Half time in Moscow. 

#CRO 0-1 #ENG
￼
Follow:

📱 https://t.co/5KN3TtJ2Zz  
📻 @5livesport

#ENGCRO #WorldCup https://t.co/TVSyyaX8dl",0.0,0.0,0.0,1.0,72
72,@BBC,Wed Jul 11 18:06:07 +0000 2018,"RT @BBCSport: GOAL!

What a start! What a goal!

Kieran Trippier whips a free-kick right in! 

#CRO 0-1 #ENG 

LIVE: 
📱 https://t.co/C5GtYW…",0.0,0.0,0.0,1.0,73
73,@BBC,Wed Jul 11 18:00:11 +0000 2018,"It's time. ⚽️

#ENGCRO #worldcup #bbcworldcup https://t.co/A0zRUx5CVK",0.0,0.0,0.0,1.0,74
74,@BBC,Wed Jul 11 17:57:05 +0000 2018,"Prince Harry knows... #ItsComingHome ️⚽️➡️🏠

#ENGCRO #ENG #WorldCup #ThreeLions 

https://t.co/ouBlfHLWry",0.0,0.0,0.0,1.0,75
75,@BBC,Wed Jul 11 17:01:04 +0000 2018,"The @BBCEastenders prediction for tonight's #WorldCup semi-final? 

""Ta-ta Croatia!"" 👋😂 @MrDDyer

#ThreeLions… https://t.co/wRv1AlP9s6",0.0,0.0,0.0,1.0,76
76,@BBC,Wed Jul 11 16:01:05 +0000 2018,"What's that David Attenborough... it's coming home? 🏴󠁧󠁢󠁥󠁮󠁧󠁿️⚽️🏆😆

🔊 Turn your sound on!  🔊

#WorldCup #ThreeLions… https://t.co/fkYYIqg2fO",0.0,0.0,0.0,1.0,77
77,@BBC,Wed Jul 11 13:03:06 +0000 2018,The National Gallery has acquired its first work by a woman for 27 years. 🖌 https://t.co/WkCtpvqKtN https://t.co/NZRjCCw3z5,0.0,0.0,0.0,1.0,78
78,@BBC,Wed Jul 11 11:32:03 +0000 2018,"The last time #ENG played a #WorldCup Semi Final, @bbceastenders looked like this... https://t.co/JeYtBettzm",0.5994,0.308,0.0,0.692,79
79,@BBC,Wed Jul 11 11:02:02 +0000 2018,"🤔 Game Boys, Vanilla Ice and a new TV programme called 'The Simpsons'... 

This is what #England looked like last t… https://t.co/YTCXpNJvqb",0.3612,0.106,0.0,0.894,80
80,@BBC,Wed Jul 11 09:53:20 +0000 2018,"RT @BBCSport: Just hold on...it's coming home.

#WorldCup #ThreeLions https://t.co/TCTpYhNV1s",0.0,0.0,0.0,1.0,81
81,@BBC,Wed Jul 11 09:32:05 +0000 2018,"This will give you goosebumps. 

The last time England won a #WorldCup semi-final it was a 2-1 victory over Portuga… https://t.co/2gRGni9S3y",0.5719,0.171,0.0,0.829,82
82,@BBC,Wed Jul 11 09:04:05 +0000 2018,"In this city, a six-figure salary is considered 'low income' and not enough for a family of four to get by on.… https://t.co/1qyDWTPSrG",-0.2732,0.0,0.095,0.905,83
83,@BBC,Wed Jul 11 08:00:00 +0000 2018,"#BluePlanet2 ✅ 
That unforgettable concert ✅ 
Brilliant Bedtime Stories ✅
A new Doctor ✅
and so much more. Here are… https://t.co/ZVSKIHOXDk",0.5859,0.109,0.0,0.891,84
84,@BBC,Wed Jul 11 07:39:04 +0000 2018,"RT @BBCSport: More of this please! 😊

#ENGCRO #ENG #ThreeLions #bbcworldcup https://t.co/706Vsdfy2Y",0.8499,0.416,0.0,0.584,85
85,@BBC,Wed Jul 11 07:33:03 +0000 2018,"💈⚽️🙌🏾 Dead trims, missed penalties, 30 yard screamers, calling players out, football coming home...… https://t.co/ZrrQJ1Qn9h",-0.8402,0.0,0.429,0.571,86
86,@BBC,Wed Jul 11 07:03:05 +0000 2018,"🌡🔥☀️ This one goes out to all the gingers braving the sun today... 

https://t.co/4Ed3y2Xp0f",0.0,0.0,0.0,1.0,87
87,@BBC,Tue Jul 10 20:02:05 +0000 2018,"The heatwave has unveiled ancient hillforts and Roman settlements in Wales. 👉
 https://t.co/L1VdHWkMP7 https://t.co/luXjJV5v3Y",0.0,0.0,0.0,1.0,88
88,@BBC,Tue Jul 10 19:04:02 +0000 2018,"Take a look at the rollercoaster years at Nokia, a company that dominated a nation. 

The Rise and Fall of Nokia |… https://t.co/7uflzUaeTj",0.0,0.0,0.0,1.0,89
89,@BBC,Tue Jul 10 18:04:04 +0000 2018,"Can you feel richer by giving your money away? 💸 This lottery winner thinks so.

https://t.co/BgKlrEfssV",0.8625,0.39,0.0,0.61,90
90,@BBC,Tue Jul 10 17:31:05 +0000 2018,"'I wanted to live inside you like a parasite'. 

A letter to my first love 💌👉 https://t.co/batgnuHRoi https://t.co/G0kGuLzHqU",0.7717,0.324,0.0,0.676,91
91,@BBC,Tue Jul 10 15:32:02 +0000 2018,"🙅No one likes making mistakes, but messing up isn’t always a bad thing.

Here are six reasons why making mistakes c… https://t.co/N7jMLZKLcE",-0.8338,0.066,0.34,0.593,92
92,@BBC,Tue Jul 10 15:14:38 +0000 2018,"RT @bbctennis: Serena Williams has some pretty big names supporting her.

Oh hey, @Drake 

LIVE👉https://t.co/RIpcahMeKm
📺 @BBCOne 
#bbctenn…",0.7269,0.276,0.0,0.724,93
93,@BBC,Tue Jul 10 13:01:05 +0000 2018,"No one does strawberries like we do in Britain! 🍓🇬🇧🍦

Now they're in season, make the most of these delicious straw… https://t.co/QKdHxenZNu",0.6763,0.242,0.079,0.68,94
94,@BBC,Tue Jul 10 12:18:03 +0000 2018,'Everyone safe': all 12 members of a Thai youth football team and their coach have been brought safely out of the c… https://t.co/c5bzSFM2ND,0.4939,0.132,0.0,0.868,95
95,@BBC,Tue Jul 10 12:03:04 +0000 2018,"Neelam and Dinesh’s son Akash took his own life three years ago. 

Now they’re trying to get the British Asian comm… https://t.co/pX5ZIH2mj3",0.0,0.0,0.0,1.0,96
96,@BBC,Tue Jul 10 11:33:00 +0000 2018,"Ever found something weird and wonderful on a British beach? 

@BBCFOUR will be LIVE from the Jurassic Coast next w… https://t.co/CY4ej7SjQh",0.4588,0.158,0.073,0.769,97
97,@BBC,Tue Jul 10 11:04:01 +0000 2018,"Have you ever seen a baby puffin? 🐣

Experts worry we may not get the chance in the future if Scotland’s puffin pop… https://t.co/uRKs7VXQMv",-0.5632,0.0,0.174,0.826,98
